EXTF;;;;;;;;;;;;;
Umsatz ohne S/H Kennzeichen;S/H Kennzeichen;WKZ;Kurs;Basis-Umsatz;WKZ Basis-Umsatz;Kontonummer;Gegenkonto ohne BU Schluessel;BU Schluessel;Belegdatum;Belegfeld 1;Belegfeld 2 (nur fuer Zahlungsfaelligkeiten);Skonto;Buchungstext
;13,39;S;EUR;1;;;34862;8410;;2005;R202210146;;;01.06.2022-28.02.2023 Standard-Support für 9 Monate Laufz..
;2058,7;S;EUR;1;;;37180;8410;;2405;R202210147;;;01.06.2022-31.05.2023 Standard-Support Laufzeit: 1 Jahr a..
;1487,5;S;EUR;1;;;37180;8409;;2405;R202210148;;;Modul „Mobiles Arbeiten“ - Einsatz von standortunabhängig..
;223,13;S;EUR;1;;;37180;8410;;2405;R202210148;;;Standard-Support Laufzeit: 1 Jahr ab Bestellung 15% vom ..
;560;S;EUR;1;;;37260;8336;;2705;R202210149;;;USB-Button (Alarmknopf) vorprogrammierte Tastenkombinatio..
;9939,48;S;EUR;1;;;34574;8411;;3005;R202210151;;;01.04.2022-30.04.2022 Projektunterstützung Bogdana Bondare..
;3596,78;S;EUR;1;;;34574;8411;;3005;R202210152;;;01.04.2022-30.04.2022 Projektunterstützung Jan Lademacher ..
;1875,74;S;EUR;1;;;34574;8411;;3005;R202210153;;;01.04.2022-30.04.2022 Projektunterstützung Kilian Stange ..
;7851,03;S;EUR;1;;;34574;8411;;3005;R202210154;;;01.04.2022-30.04.2022 Projektunterstützung Sebastian Doil ..
;4950,4;S;EUR;1;;;34574;8411;;3005;R202210155;;;01.04.2022-30.04.2022 Projektunterstützung Hassan Alhawari..
;4462,5;S;EUR;1;;;37252;8409;;3105;R202210156;;;Stiller Alarm Standard Lizenz
;669,38;S;EUR;1;;;37252;8410;;3105;R202210156;;;01.04.2022-31.03.2023 Standard-Support Laufzeit: 1 Jahr a..
;54740;S;EUR;1;;;37261;8409;;3105;R202210157;;;20.000 Clients Rundrufsystem Mengenlizenz für 20.000 Cl..
;27370;S;EUR;1;;;37261;8410;;3105;R202210157;;;01.06.2022-31.05.2027 Pflege und Wartung Rundrufsystem ..
;
